"Offset","Len","Caption"
"0xF8E859","35","Import ""ok/error"" syntax definition"
"0xF8E960","32","Import ""shell"" syntax definition"
"0xF8EA64","211","You can specify for each color a list of patterns separated by commas.

If you want to create complex syntax definitions, you can use regex, but note that no support will be brought for defective regex syntax."
"0xF8EC08","26","Sample syntax definitions:"
"0xF8ECC8","31","Import ""perl"" syntax definition"
"0xF8EDCA","30","Import ""sql"" syntax definition"
"0xF8EECB","41","Import ""keywords+shell"" syntax definition"
"0xF8F062","12","            "
"0xF8F0B7","38","Use regular expressions (experts only)"
"0xF8F193","23","Import syntax from file"
"0xF8F236","21","Export syntax to file"
"0xF8F34D","50","Expressions corresponding to each color attribute:"
"0xF8F473","9","Underline"
"0xF8F6AE","3","Red"
"0xF8F8D6","5","Green"
"0xF8FB01","6","Yellow"
"0xF8FD2F","4","Blue"
"0xF8FF56","7","Magenta"
"0xF90186","4","Cyan"
"0xF903B1","8","Blinking"
"0xF9068F","35","Case-sensitive expressions matching"
"0xF90C1F","19","Do not ask me again"
"0xF91054","16","FormTransparente"
"0xF91556","11","PanelALaCon"
"0xF9163D","190","This is MobaXterm Home Edition. Please consider subscribing to MobaXterm Professional Edition.
It allows you to customize the program, disable this screensaver, disable games and much more!"
"0xF9245A","17","Reattach this tab"
"0xF92723","7","Button2"
"0xF92B47","18","Regular expression"
"0xF92BDA","10","Match case"
"0xF92CCE","11","PanHint2Cap"
"0xF9307A","2","__"
"0xF942E2","90","Multi-execution mode: commands are typed to all terminals (use Ctrl+Shift+Insert to paste)"
"0xF9441B","25","Exit multi-execution mode"
"0xF944F3","11","Multi-paste"
"0xF94911","9","[1/36000]"
"0xF94A3F","17","Downloading [...]"
"0xF94C4A","21","Reconnect SSH-browser"
"0xF95702","16","Record new macro"
"0xF95C38","1","."
"0xF95CF0","9","Size (KB)"
"0xF95D18","13","Last modified"
"0xF95D45","5","Owner"
"0xF95D5E","5","Group"
"0xF95D77","6","Access"
"0xF97347","17","Remote monitoring"
"0xF975CD","23"," Follow terminal folder"
"0xF97880","17","Show/hide tab bar"
"0xF97928","12","New terminal"
"0xF97D1B","5","Print"
"0xF97F08","7","Session"
"0xF97FFA","4","Help"
"0xF98217","4","View"
"0xF98358","9","MultiExec"
"0xF9848D","5","Split"
"0xF985DC","5","Tools"
"0xF9883B","7","New tab"
"0xF9894F","7","Sidebar"
"0xF98A8E","5","Games"
"0xF98BC1","8","Zoom out"
"0xF98CD4","7","Zoom in"
"0xF98DDB","6","Detach"
"0xF98ECE","5","Cycle"
"0xF98FEB","9","Tunneling"
"0xF990D8","7","Servers"
"0xF991D1","4","Home"
"0xF992B8","5","Macro"
"0xF994C4","9","Shortkeys"
"0xF995CC","3","Doc"
"0xF998CF","9","Set title"
"0xF99AAE","5","Ctris"
"0xF99BAB","7","Tcpdump"
"0xF99CB8","10","List ports"
"0xF99DC2","8","TextEdit"
"0xF99EBC","10","Tasks list"
"0xF99FC0","5","Fvwm2"
"0xF9A0B9","4","Twm2"
"0xF9A1AB","3","Dwm"
"0xF9A2A8","8","Packages"
"0xF9A394","7","Systray"
"0xF9A4B2","8","X server"
"0xF9A859","34","Executing macro """". Please wait..."
"0xF9A8E1","4","STOP"
"0xF9AD6F","80","  -  Please support MobaXterm by subscribing to the professional edition here:  "
"0xF9AE90","29","https://mobaxterm.mobatek.net"
"0xF9B013","22","  UNREGISTERED VERSION"
"0xF9B303","10","SheetTools"
"0xF9B36D","10","SheetGames"
"0xF9B3EA","13","SheetSessions"
"0xF9B47F","9","SheetView"
"0xF9B4F7","10","SheetSplit"
"0xF9B588","16","4 terminals mode"
"0xF9B68D","35","2 terminals mode (horizontal split)"
"0xF9B7A8","33","2 terminals mode (vertical split)"
"0xF9B8C4","20","Single terminal mode"
"0xF9C789","9","HintPanel"
"0xF9C9F4","26","List of listening DISPLAYS"
"0xF9CAC7","48","127.0.0.1:0.0
192.168.56.1:0.0
220.2.87.54:0.0"
"0xF9CC3D","5","Start"
"0xF9CCE1","9","Configure"
"0xF9CE92","30","MobaXterm X server is running "
"0xF9D043","41","Show more information about these options"
"0xF9D138","114","Record a new graphic session macro (experimental)
(keyboard and mouse events inside any session will be recorded)"
"0xF9D281","100","Record a new standard macro
(eveything that I type inside terminal-based sessions will be recorded)"
"0xF9D3BC","106","Record a new MobaXterm macro (experimental)
(keyboard and mouse events inside MobaXterm will be recorded)"
"0xF9D4FF","108","Record a new desktop macro (experimental)
(keyboard and mouse events in the whole desktop will be recorded)"
"0xF9DEE5","10","Rename tab"
"0xF9DF39","13","Set tab color"
"0xF9DF93","13","Duplicate tab"
"0xF9DFEA","9","Close tab"
"0xF9E04D","26","Close all tabs to the left"
"0xF9E09F","27","Close all tabs to the right"
"0xF9E0F2","23","Close all inactive tabs"
"0xF9E158","25","Close all except this tab"
"0xF9E1CB","14","Close all tabs"
"0xF9E23E","10","Detach tab"
"0xF9E292","13","Re-attach tab"
"0xF9E353","25","Fullscreen on 2nd monitor"
"0xF9E3CB","26","Fullscreen on all monitors"
"0xF9E443","26","Put this tab always on top"
"0xF9E4BA","18","Pin/unpin this tab"
"0xF9E53B","19","Toggle smart sizing"
"0xF9E5A3","21","Send Ctrl + Alt + Del"
"0xF9E60A","18","Refresh VNC screen"
"0xF9E765","20","Save terminal output"
"0xF9E7D4","21","Print terminal output"
"0xF9E841","18","Increase font size"
"0xF9E8A8","18","Decrease font size"
"0xF9EA3E","15","Rename Terminal"
"0xF9EB87","12","Open new tab"
"0xF9EBD8","17","Close current tab"
"0xF9EC57","18","Go to previous tab"
"0xF9ECB8","14","Go to next tab"
"0xF9ED1E","18","Cycle through tabs"
"0xF9ED82","13","Reverse cycle"
"0xF9EE01","13","Set tab title"
"0xF9EEB8","18","Save terminal text"
"0xF9EF17","19","Print terminal text"
"0xF9EF74","16","Find in terminal"
"0xF9EFD0","9","Find next"
"0xF9F03D","21","Duplicate current tab"
"0xF9F0A8","31","Write commands on all terminals"
"0xF9F12E","4","Quit"
"0xF9F17C","15","Filter sessions"
"0xF9F1D9","17","Paste in terminal"
"0xF9F60B","12","Compact mode"
"0xF9F672","15","Fullscreen mode"
"0xF9F6E9","17","Iconify MobaXterm"
"0xF9F797","13","Show menu bar"
"0xF9F80B","16","Show buttons bar"
"0xF9F87C","9","Show both"
"0xF9F91A","13","Small buttons"
"0xF9F98D","16","Standard buttons"
"0xF9FA07","30","Standard buttons with captions"
"0xF9FAB0","13","Terminal zoom"
"0xF9FB22","15","Terminal unzoom"
"0xF9FBAF","17","Show/hide sidebar"
"0xF9FC1F","23","Put sidebar on the left"
"0xF9FCAA","24","Put sidebar on the right"
"0xF9FDD1","17","Show close button"
"0xF9FE64","23","Toggle light/dark theme"
"0xF9FECC","28","Show/hide sidebar tab titles"
"0xF9FF64","17","Take a screenshot"
"0xFA0075","13","XDMCP session"
"0xFA0124","6","System"
"0xFA0151","38","MobApt packages manager (experimental)"
"0xFA01C4","16","X11 tab with Dwm"
"0xFA0219","20","X11 window with Fvwm"
"0xFA0275","19","X11 window with Twm"
"0xFA02E4","21","List hardware devices"
"0xFA0362","23","List installed software"
"0xFA03E3","22","List running processes"
"0xFA0455","22","Command Prompt (admin)"
"0xFA04CE","26","Windows Powershell (admin)"
"0xFA0566","6","Office"
"0xFA05FF","8","MobaDiff"
"0xFA0658","10","Vim editor"
"0xFA06CC","11","Ascii table"
"0xFA072A","10","Mathomatic"
"0xFA0790","5","NEdit"
"0xFA0811","7","Network"
"0xFA0847","16","Network services"
"0xFA089F","31","MobaSSHTunnel (port forwarding)"
"0xFA0906","30","MobaKeyGen (SSH key generator)"
"0xFA0976","23","List open network ports"
"0xFA09E0","11","Wake On Lan"
"0xFA0A38","15","Network scanner"
"0xFA0A97","13","Ports scanner"
"0xFA0B01","23","Network packets capture"
"0xFA0BBB","15","Remote sessions"
"0xFA0C02","18","SSH (Secure shell)"
"0xFA0C70","27","XDMCP (Remote Unix Desktop)"
"0xFA0CF7","26","MobaRDP (Terminal Service)"
"0xFA0D71","20","MobaVNC (VNC client)"
"0xFA0DE6","20","MobaFTP (FTP client)"
"0xFA0E59","22","MobaSFTP (SFTP client)"
"0xFA0ED8","28","Microcom (Serial connection)"
"0xFA0F9B","14","Terminal games"
"0xFA0FD2","8","Soliterm"
"0xFA102E","8","Termwalk"
"0xFA10DF","6","Sudoku"
"0xFA1137","11","Nimesweeper"
"0xFA1199","9","Ninvaders"
"0xFA11F7","5","Greed"
"0xFA124D","9","Typespeed"
"0xFA12B3","7","Netwalk"
"0xFA1309","5","Mines"
"0xFA135F","4","Solo"
"0xFA13B3","5","Guess"
"0xFA1409","3","Map"
"0xFA1456","8","Untangle"
"0xFA14B2","16","Tux consolesaver"
"0xFA1541","27","Remove games from MobaXterm"
"0xFA160C","13","Configuration"
"0xFA1666","18","Keyboard shortcuts"
"0xFA16B9","11","Key mapping"
"0xFA1720","20","Import configuration"
"0xFA176C","20","Export configuration"
"0xFA17B8","19","Reset configuration"
"0xFA18C5","20","Edit session presets"
"0xFA1921","6","Macros"
"0xFA19D7","19","Manage saved macros"
"0xFA1A3E","12","Saved macros"
"0xFA1B38","17","Check for updates"
"0xFA1B8F","23","View MobaXterm log file"
"0xFA1C20","31","Disable ASLR for local terminal"
"0xFA1CB5","33","Re-enable ASLR for local terminal"
"0xFA1D59","37","Try MobaXterm Professional Customizer"
"0xFA1DC2","14","Plugin creator"
"0xFA1E8E","31","Test Access Violation Exception"
"0xFA1EFC","23","Test application frozen"
"0xFA1F5D","16","Test double Free"
"0xFA1FBD","21","Test Conversion error"
"0xFA20C9","25","Menu and buttons toolbars"
"0xFA2214","26","Show menu and buttons bars"
"0xFA22BD","15","Buttons toolbar"
"0xFA2502","17","Customize buttons"
"0xFA265C","21","Toggle sidebar titles"
"0xFA2854","19","Show ""Sessions"" tab"
"0xFA28D5","16","Show ""Tools"" tab"
"0xFA2953","17","Show ""Macros"" tab"
"0xFA29D2","15","Show ""Tabs"" tab"
"0xFA2A46","14","Show ""Log"" tab"
"0xFA2AE3","6","Tabbar"
"0xFA2C57","23","Show/hide vertical tabs"
"0xFA2D40","4","Open"
"0xFA2D8A","29","Open with default text editor"
"0xFA2DF1","12","Open with..."
"0xFA2E55","28","Open with default program..."
"0xFA2EC0","18","Compare text files"
"0xFA2F1F","8","Download"
"0xFA303A","14","Copy file path"
"0xFA3096","47","Copy file path to terminal (Middle mouse click)"
"0xFA3110","10","Properties"
"0xFA3165","11","Permissions"
"0xFA3262","16","Parent directory"
"0xFA32DF","13","New directory"
"0xFA3336","14","New empty file"
"0xFA33A9","22","Refresh current folder"
"0xFA3408","24","Upload to current folder"
"0xFA3490","29","SSH-browser position: sidebar"
"0xFA3511","27","SSH-browser position: right"
"0xFA3587","26","SSH-browser position: left"
"0xFA35FC","28","SSH-browser position: bottom"
"0xFA3673","25","SSH-browser position: top"
"0xFA36FA","44","Download files to the following directory..."
"0xFA39CD","13","Connect as..."
"0xFA3A30","12","SFTP session"
"0xFA3A90","9","Ping host"
"0xFA3CC7","20","Save session to file"
"0xFA3D37","25","Create a desktop shortcut"
"0xFA3DC6","25","Import MobaXterm sessions"
"0xFA3E36","25","Export MobaXterm sessions"
"0xFA3E98","41","Import sessions from third-party programs"
"0xFA3EF7","19","Import WSL sessions"
"0xFA3F6B","29","Import External Bash sessions"
"0xFA3FEB","21","Import PuTTY sessions"
"0xFA405D","23","Import PuTTYCM sessions"
"0xFA40D6","26","Import SuperPuTTY sessions"
"0xFA4152","23","Import MRemote sessions"
"0xFA41C7","22","Import Exceed sessions"
"0xFA4238","20","Import SCRT sessions"
"0xFA42A4","19","Import RDM sessions"
"0xFA4388","22","Generate HTML web page"
"0xFA43E7","17","Close all folders"
"0xFA4453","37","Execute all sessions from this folder"
"0xFA44E7","23","Refresh shared sessions"
"0xFA4561","33","Share these sessions with my team"
"0xFA45E5","31","Manage existing shared sessions"
"0xFA4674","40","Save session settings as default presets"
"0xFA46E8","21","Copy session settings"
"0xFA474A","22","Paste session settings"
"0xFA4AAE","22","Create new empty macro"
"0xFA4B10","12","Rename macro"
"0xFA4B64","10","Edit macro"
"0xFA4BBB","15","Duplicate macro"
"0xFA4C17","12","Delete macro"
"0xFA4C78","13","Assign hotkey"
"0xFA4CD4","15","Create a folder"
"0xFA4D54","13","Execute macro"
"0xFA4E5D","13","Import macros"
"0xFA4EB8","13","Export macros"
"0xFA4F23","30","Use single-click to run macros"
"0xFA50D6","13","Save log file"
"0xFA511B","18","Copy selected line"
"0xFA517D","26","ShowFormPopupMacroMenuItem"
"0xFA51FE","30","ShowFormPopupClipboardMenuItem"
"0xFA6C41","4","Copy"
"0xFA6C95","12","Save to file"
"0xFA6D10","24","Display host information"
"0xFA6D66","23","Display CPU information"
"0xFA6DBB","23","Display RAM information"
"0xFA6E10","36","Display network (upload) information"
"0xFA6E72","38","Display network (download) information"
"0xFA6ED7","33","Display network connected clients"
"0xFA6F2D","27","Display number of processes"
"0xFA6F7D","34","Display number of file descriptors"
"0xFA6FD4","14","Display uptime"
"0xFA7020","23","Display connected users"
"0xFA7076","30","Display partitions information"
"0xFA70D3","22","Display NFS partitions"
"0xFA7342","12","Activate all"
"0xFA7378","13","Activate none"
"0xFA73AF","16","Invert selection"
"0xFA7404","33","Synchronize mouse wheel scrolling"
"0xFA8F96","12","Size (Bytes)"
"0xFA9477","8","6424kB/s"
"0xFA999C","24","Open with MobaTextEditor"
"0xFA9A0C","25","Open with default program"
"0xFA9ACA","13","Compare files"
"0xFAC303","82","Enable advanced features and enhance security with MobaXterm Professional Edition!"
"0xFAC605","41","CygUtils plugin not found on your system."
"0xFAC7B0","68","
Welcome to MobaXterm vx.xx
Press <return> to start a new terminal"
"0xFAC8EB","15","Recent sessions"
"0xFAD12C","20","Start local terminal"
"0xFAD2B7","25","Recover previous sessions"
"0xFAD65C","26","Select your favorite theme"
"0xFAD72D","5","Light"
"0xFAD82A","4","Dark"
"0xFAE16F","7","Options"
"0xFAE29D","10","Disconnect"
"0xFAE7AD","9","View-only"
"0xFAE906","13","Respect ratio"
"0xFAEA64","10","Reset size"
"0xFAEBD3","16","Shared clipboard"
"0xFAED2E","6","Record"
"0xFB0511","16","Select directory"
"0xFB07BD","6","Create"
"0xFB0D16","12","Select color"
"0xFB0F36","14","Main palette :"
"0xFB0F7F","1","o"
"0xFB0FBB","1","%"
"0xFB1521","1"," "
"0xFB2204","3","Mgn"
"0xFB23F9","5","&Copy"
"0xFB2423","6","&Paste"


